weight,word,color,url
120,DevOps,,
120,Engineer,,
100,SRE,,
100,Open source,,
100,AWS,,
80,Jenkins,,
80,Artifactory,,
80,Automation,,
80,Provisioning,,
80,Linux,,
80,Ansible,,
70,Front End,,
50,.net,,
50,PHP,,
50,Spring,,
50,Java,,
60,JIRA,,
70,git,,
70,Agile,,
70,Scrum,,
70,JavaScript,,
50,Data Analysis,,
50,node,,
50,ansible,,
50,Photoshop,,
50,Testing,,
50,Automation,,
50,D3.js,,
50,Data Visualization,,
50,Graphic Design,,
50,Full Stack,,
50,HTML,,
50,CSS,,
40,MySQL,,
40,Backbone,,
40,Ember,,
40,React,,
50,Backend,,
40,Maven,,
40,npm,,
40,MongoDB,,
40,Tomcat,,
40,Analytics,,
40,Oracle,,
40,Handlebars,,
40,IBM Maximo,,
40,Bootstrap,,
40,Foundation,,
40,Ruby,,
40,WebSphere,,
40,jQuery,,
